ASX Code,Company Name,Link,Market Cap,Last trade,Change,%Change,Sector
SB2,Salter Brothers Emerging Companies Limited (ASX:SB2),https://www.listcorp.com/asx/sb2/salter-brothers-emerging-companies-limited,"	60459800",0.7,-0.01,-1.41,Financials
E200,SPDR S&P/ASX ESG 200 FUND (ASX:E200),https://www.listcorp.com/asx/e200/spdr-s-and-p-asx-esg-200-fund,"	60395300",26.59,-0.31,-1.15,Unclassified
HMY,Harmoney Corp Limited (ASX:HMY),https://www.listcorp.com/asx/hmy/harmoney-corp-limited,"	60352900",0.575,0,-0.86,Financials
WCN,White Cliff Minerals Limited (ASX:WCN),https://www.listcorp.com/asx/wcn/white-cliff-minerals-limited,"	60334700",0.025,0,0,Materials
GPEQ,VanEck Global Listed Private Equity ETF (ASX:GPEQ),https://www.listcorp.com/asx/gpeq/vaneck-global-listed-private-equity-etf,"	59830700",25.76,-0.13,-0.5,Unclassified
RTG,RTG Mining Inc. (ASX:RTG),https://www.listcorp.com/asx/rtg/rtg-mining-inc,"	59612600",0.031,0,-3.13,Materials
GROW,Schroder Real Return (Managed Fund) (ASX:GROW),https://www.listcorp.com/asx/grow/schroder-real-return-managed-fund,"	59510900",3.83,0,0,Unclassified
RSM,Russell Investments Australian Semi-Government Bond ETF (ASX:RSM),https://www.listcorp.com/asx/rsm/russell-investments-australian-semi-government-bond-etf,"	59323900",20.93,0.02,0.1,Unclassified
HAS,Hastings Technology Metals Limited (ASX:HAS),https://www.listcorp.com/asx/has/hastings-technology-metals,"	59073000",0.305,0.01,1.67,Materials
CCA,Change Financial Limited (ASX:CCA),https://www.listcorp.com/asx/cca/change-financial-limited,"	59069400",0.09,0,4.65,Financials
NYR,Nyrada Inc (ASX:NYR),https://www.listcorp.com/asx/nyr/nyrada-inc,"	59056800",0.35,0.07,25,Health Care
NGY,NuEnergy Gas Limited (ASX:NGY),https://www.listcorp.com/asx/ngy/nuenergy-gas-limited,"	58763300",0.033,0,0,Energy
FFI,FFI Holdings Limited (ASX:FFI),https://www.listcorp.com/asx/ffi/ffi-holdings-limited,"	58726800",4.16,-0.32,-7.14,Consumer Staples
NSB,Neuroscientific Biopharmaceuticals Limited (ASX:NSB),https://www.listcorp.com/asx/nsb/neuroscientific-biopharmaceuticals-limited,"	58200700",0.21,0.04,20,Health Care
VDAL,Vanguard Diversified All Growth Index ETF (ASX:VDAL),https://www.listcorp.com/asx/vdal/vanguard-diversified-all-growth-index-etf,"	58091700",52.69,-0.36,-0.68,Unclassified
GBR,Great Boulder Resources Limited (ASX:GBR),https://www.listcorp.com/asx/gbr/great-boulder-resources,"	57992500",0.061,0,-1.61,Materials
AIQ,Alternative Investment Trust (ASX:AIQ),https://www.listcorp.com/asx/aiq/alternative-investment-trust,"	57941300",1.83,0,0,Financials
DUB,Dubber Corporation Limited (ASX:DUB),https://www.listcorp.com/asx/dub/dubber-corporation,"	57750700",0.02,0,-9.09,Information Technology
HCRD,BetaShares Interest Rate Hedged Australian Investment Grade Corporate Bond ETF (ASX:HCRD),https://www.listcorp.com/asx/hcrd/betashares-interest-rate-hedged-australian-investment-grade-corporate-bond-etf,"	57547900",25.41,0.02,0.08,Unclassified
EPY,Earlypay Ltd (ASX:EPY),https://www.listcorp.com/asx/epy/earlypay-ltd,"	57163900",0.21,0,0,Financials
MCE,Matrix Composites & Engineering Ltd (ASX:MCE),https://www.listcorp.com/asx/mce/matrix-composites-and-engineering-ltd,"	57071900",0.255,0,0,Energy
EPM,Eclipse Metals Ltd (ASX:EPM),https://www.listcorp.com/asx/epm/eclipse-metals-ltd,"	56983900",0.019,0,0,Energy
ION,Iondrive Limited (ASX:ION),https://www.listcorp.com/asx/ion/iondrive-limited,"	56776100",0.046,0,-4.17,Materials
RKN,Reckon Limited (ASX:RKN),https://www.listcorp.com/asx/rkn/reckon-limited,"	56647400",0.5,0,0,Information Technology
IDA,Indiana Resources Limited (ASX:IDA),https://www.listcorp.com/asx/ida/indiana-resources-limited,"	56560500",0.088,0,0,Materials
GHM,Golden Horse Minerals Limited (ASX:GHM),https://www.listcorp.com/asx/ghm/golden-horse-minerals-limited,"	56550900",0.42,0,0,Unclassified
LRT,Lowell Resources Fund (ASX:LRT),https://www.listcorp.com/asx/lrt/lowell-resources-fund,"	56484600",1.33,-0.03,-2.56,Financials
BEAR,BetaShares Australian Equities Bear Hedge Fund (ASX:BEAR),https://www.listcorp.com/asx/bear/betashares-australian-equities-bear-hedge-fund,"	56256500",7.4,0.09,1.23,Unclassified
ESK,Etherstack Plc (ASX:ESK),https://www.listcorp.com/asx/esk/etherstack-plc,"	56173100",0.455,0.03,7.06,Information Technology
AHL,Adrad Holdings Limited (ASX:AHL),https://www.listcorp.com/asx/ahl/adrad-holdings-limited,"	56099100",0.69,0,0,Consumer Discretionary
DRE,Dreadnought Resources Limited (ASX:DRE),https://www.listcorp.com/asx/dre/dreadnought-resources-limited,"	55874500",0.011,0,0,Materials
CZR,CZR Resources Ltd (ASX:CZR),https://www.listcorp.com/asx/czr/czr-resources-ltd,"	55701800",0.235,0,0,Materials
4DS,4DS Memory Limited (ASX:4DS),https://www.listcorp.com/asx/4ds/4ds-memory-limited,"	55644300",0.029,0,7.41,Information Technology
SKY,Sky Metals Limited (ASX:SKY),https://www.listcorp.com/asx/sky/sky-metals-limited,"	55520600",0.085,0.01,8.97,Materials
EDU,EDU Holdings Limited (ASX:EDU),https://www.listcorp.com/asx/edu/edu-holdings-limited,"	54952000",0.375,0.01,2.74,Consumer Discretionary
BOL,Boom Logistics Limited (ASX:BOL),https://www.listcorp.com/asx/bol/boom-logistics-limited,"	54892200",1.385,0.06,4.14,Industrials
NMT,Neometals Limited (ASX:NMT),https://www.listcorp.com/asx/nmt/neometals-limited,"	54629200",0.069,0,-2.82,Materials
GARP,Global X S&P World ex Australia GARP ETF (ASX:GARP),https://www.listcorp.com/asx/garp/global-x-s-and-p-world-ex-australia-garp-etf,"	54516000",12.25,-0.07,-0.57,Unclassified
CSX,CleanSpace Holdings Limited (ASX:CSX),https://www.listcorp.com/asx/csx/cleanspace-holdings-limited,"	54395100",0.7,0.01,0.72,Health Care
KNB,Koonenberry Gold Limited (ASX:KNB),https://www.listcorp.com/asx/knb/koonenberry-gold-limited,"	54328800",0.052,0,-1.89,Materials
AI1,Adisyn Ltd (ASX:AI1),https://www.listcorp.com/asx/ai1/adisyn-ltd,"	54309400",0.073,0,-2.67,Information Technology
MAP,Microba Life Sciences Limited (ASX:MAP),https://www.listcorp.com/asx/map/microba-life-sciences-limited,"	54078100",0.095,-0.01,-9.52,Health Care
MAT,Matsa Resources Limited (ASX:MAT),https://www.listcorp.com/asx/mat/matsa-resources-limited,"	53953300",0.073,0,1.39,Materials
PHX,PharmX Technologies Limited (ASX:PHX),https://www.listcorp.com/asx/phx/pharmx-technologies-limited,"	53865600",0.092,0,2.22,Information Technology
CMP,Compumedics Limited (ASX:CMP),https://www.listcorp.com/asx/cmp/compumedics,"	53821000",0.285,0.01,1.79,Health Care
E25,Element 25 Limited (ASX:E25),https://www.listcorp.com/asx/e25/element-25-limited,"	53723900",0.23,-0.01,-2.13,Materials
IHEB,iShares JP Morgan USD Emerging Mkt Bnd AUD Hdg ETF (ASX:IHEB),https://www.listcorp.com/asx/iheb/ishares-jp-morgan-usd-emerging-mkt-bnd-aud-hdg-etf,"	53334500",75.24,0.5,0.67,Unclassified
DNA,Donaco International Limited (ASX:DNA),https://www.listcorp.com/asx/dna/donaco-international-limited,"	53121700",0.043,0,0,Consumer Discretionary
DSK,Dusk Group Limited (ASX:DSK),https://www.listcorp.com/asx/dsk/dusk-group-limited,"	52927700",0.86,0.01,1.18,Consumer Discretionary
PPL,Pureprofile Limited (ASX:PPL),https://www.listcorp.com/asx/ppl/pureprofile-limited,"	52613900",0.045,0,0,Information Technology
OZF,SPDR S&P/ASX 200 Financials EX A-REIT Fund (ASX:OZF),https://www.listcorp.com/asx/ozf/spdr-s-and-p-asx-200-financials-ex-a-reit-fund,"	52240800",29.84,-0.83,-2.71,Unclassified
GTG,Genetic Technologies Limited (ASX:GTG),https://www.listcorp.com/asx/gtg/genetic-technologies-limited,"	52081500",0.039,0,0,Health Care
RAD,Radiopharm Theranostics Limited (ASX:RAD),https://www.listcorp.com/asx/rad/radiopharm-theranostics-limited,"	52028900",0.023,0,4.55,Health Care
ANO,Advance Zinctek Limited (ASX:ANO),https://www.listcorp.com/asx/ano/advance-zinctek-limited,"	51996300",1.1,0.27,32.53,Materials
DGGF,BetaShares Ethical Diversified Growth ETF (ASX:DGGF),https://www.listcorp.com/asx/dggf/betashares-ethical-diversified-growth-etf,"	51989300",28.57,-0.11,-0.38,Unclassified
VHM,VHM Limited (ASX:VHM),https://www.listcorp.com/asx/vhm/vhm-limited,"	51981800",0.225,0.02,9.76,Materials
SHM,Shriro Holdings Limited (ASX:SHM),https://www.listcorp.com/asx/shm/shriro-holdings-limited,"	51801600",0.665,0,0,Consumer Discretionary
BML,Boab Metals Limited (ASX:BML),https://www.listcorp.com/asx/bml/boab-metals-limited,"	51657300",0.19,0,2.7,Materials
VHL,Vitasora Health Limited (ASX:VHL),https://www.listcorp.com/asx/vhl/vitasora-health-limited,"	51556300",0.029,0,-3.33,Health Care
FSI,Flagship Investments Limited (ASX:FSI),https://www.listcorp.com/asx/fsi/flagship-investments-limited,"	51326700",2.03,0.05,2.27,Financials
GL1,Global Lithium Resources Limited (ASX:GL1),https://www.listcorp.com/asx/gl1/global-lithium-resources-limited,"	51037800",0.21,0.01,7.69,Materials
TKM,Trek Metals Limited (ASX:TKM),https://www.listcorp.com/asx/tkm/trek-metals-limited,"	50704900",0.093,0.01,9.41,Materials
DHOF,Daintree Hybrid Opportunities Fund (Managed Fund) (ASX:DHOF),https://www.listcorp.com/asx/dhof/daintree-hybrid-opportunities-fund-managed-fund,"	50447900",9.64,0,0,Unclassified
SIO,Simonds Group Limited (ASX:SIO),https://www.listcorp.com/asx/sio/simonds-group-limited,"	50386900",0.14,0,0,Consumer Discretionary
MNS,Magnis Energy Technologies Limited (ASX:MNS),https://www.listcorp.com/asx/mns/magnis-energy-technologies-limited,"	50378900",0.042,0,0,Materials
AAL,Alfabs Australia Limited (ASX:AAL),https://www.listcorp.com/asx/aal/alfabs-australia-limited,"	50044000",0.4,-0.01,-3.61,Industrials
MQEG,Macquarie Core Global Equity Fund (ASX:MQEG),https://www.listcorp.com/asx/mqeg/macquarie-core-global-equity-fund,"	50043600",12.22,0.02,0.16,Unclassified
WR1,Winsome Resources Limited (ASX:WR1),https://www.listcorp.com/asx/wr1/winsome-resources-limited,"	50013500",0.215,0.01,4.88,Materials
MM1,Midas Minerals Ltd (ASX:MM1),https://www.listcorp.com/asx/mm1/midas-minerals-ltd,"	49460600",0.305,0.01,3.39,Materials
LBL,Laserbond Limited (ASX:LBL),https://www.listcorp.com/asx/lbl/laserbond-limited,"	49413800",0.45,0.03,7.14,Industrials
MYE,Mastermyne Group Limited (ASX:MYE),https://www.listcorp.com/asx/mye/mastermyne-group-limited,"	49383700",0.16,0,0,Materials
AUN,Aurumin Limited (ASX:AUN),https://www.listcorp.com/asx/aun/aurumin-limited,"	49129800",0.11,0.01,11.11,Materials
SNAS,Global X Ultra Short Nasdaq 100 Hedge Fund (ASX:SNAS),https://www.listcorp.com/asx/snas/global-x-ultra-short-nasdaq-100-hedge-fund,"	49071700",19.18,0.05,0.26,Unclassified
TNC,True North Copper Limited (ASX:TNC),https://www.listcorp.com/asx/tnc/true-north-copper-limited,"	49042400",0.39,0.01,1.3,Materials
HLTH,VanEck Global Healthcare Leaders ETF (ASX:HLTH),https://www.listcorp.com/asx/hlth/vaneck-global-healthcare-leaders-etf,"	48865700",10.96,-0.13,-1.17,Unclassified
LDX,Lumos Diagnostics Holdings Limited (ASX:LDX),https://www.listcorp.com/asx/ldx/lumos-diagnostics-holdings-limited,"	48654000",0.062,0,-4.62,Health Care
LM8,Lunnon Metals Limited (ASX:LM8),https://www.listcorp.com/asx/lm8/lunnon-metals-limited,"	48538200",0.23,0.01,4.55,Materials
IVR,Investigator Resources Limited (ASX:IVR),https://www.listcorp.com/asx/ivr/investigator-resources-limited,"	48516000",0.027,0,-3.57,Materials
BDM,Burgundy Diamond Mines Limited (ASX:BDM),https://www.listcorp.com/asx/bdm/burgundy-diamond-mines-limited,"	48325300",0.033,0,-2.94,Materials
3DP,Pointerra Limited (ASX:3DP),https://www.listcorp.com/asx/3dp/pointerra-limited,"	48304600",0.062,0,3.33,Information Technology
GOAT,VanEck Morningstar International Wide Moat ETF (ASX:GOAT),https://www.listcorp.com/asx/goat/vaneck-morningstar-international-wide-moat-etf,"	48266000",27.32,-0.01,-0.04,Unclassified
RWL,Rubicon Water Limited (ASX:RWL),https://www.listcorp.com/asx/rwl/rubicon-water-limited,"	48139000",0.2,0,0,Information Technology
BCOM,Global X Bloomberg Commodity ETF (Synthetic) (ASX:BCOM),https://www.listcorp.com/asx/bcom/global-x-bloomberg-commodity-etf-synthetic,"	47957800",11.4,-0.04,-0.35,Unclassified
DCOR,Daintree Core Income Active ETF (ASX:DCOR),https://www.listcorp.com/asx/dcor/daintree-core-income-active-etf,"	47737900",51.12,0.07,0.14,Unclassified
CC5,Clever Culture Systems Limited (ASX:CC5),https://www.listcorp.com/asx/cc5/clever-culture-systems-limited,"	47697900",0.029,0,7.41,Health Care
AEBD,Betashares Ethical Australian Composite Bond ETF (ASX:AEBD),https://www.listcorp.com/asx/aebd/betashares-ethical-australian-composite-bond-etf,"	47499600",51.68,0.05,0.1,Unclassified
MMA,Maronan Metals Limited (ASX:MMA),https://www.listcorp.com/asx/mma/maronan-metals-limited,"	47294400",0.2325,0,-1.06,Materials
MHOT,VanEck Morningstar Wide Moat (AUD Hedged) ETF (ASX:MHOT),https://www.listcorp.com/asx/mhot/vaneck-morningstar-wide-moat-aud-hedged-etf,"	47234000",130.1,-0.2,-0.15,Unclassified
MDR,MedAdvisor Limited (ASX:MDR),https://www.listcorp.com/asx/mdr/medadvisor-limited,"	46894100",0.083,0.01,10.67,Health Care
RDM,Red Metal Limited (ASX:RDM),https://www.listcorp.com/asx/rdm/red-metal-limited,"	46755500",0.12,-0.01,-7.69,Materials
VTX,Vertex Minerals Limited (ASX:VTX),https://www.listcorp.com/asx/vtx/vertex-minerals-limited,"	46397200",0.22,-0.01,-4.35,Materials
YRL,Yandal Resources Limited (ASX:YRL),https://www.listcorp.com/asx/yrl/yandal-resources-limited,"	46385200",0.16,0.01,6.67,Materials
TIP,Teaminvest Private Group Limited (ASX:TIP),https://www.listcorp.com/asx/tip/teaminvest-private-group-limited,"	46234100",1.71,0,0,Financials
IBC,Ironbark Capital Limited (ASX:IBC),https://www.listcorp.com/asx/ibc/ironbark-capital-limited,"	46081800",0.44,0,0,Financials
